date,streamflow,phosphorus
2019-01-16,30760.0,0.07
2019-01-21,26000.0,0.07017543859649124
2019-01-26,21960.0,0.07035087719298246
2019-01-31,18300.0,0.07052631578947369
2019-02-05,22240.0,0.07070175438596492
2019-02-10,22220.0,0.07087719298245614
2019-02-15,21140.0,0.07105263157894737
2019-02-20,20820.0,0.0712280701754386
2019-02-25,19440.0,0.07140350877192982
2019-03-02,17720.0,0.07157894736842105
2019-03-07,18000.0,0.07175438596491228
2019-03-12,25840.0,0.07192982456140351
2019-03-17,97540.0,0.14400000000000002
2019-03-22,94540.0,0.208
2019-03-27,137800.0,0.244
2019-04-01,174000.0,0.2302
2019-04-06,160400.0,0.21725
2019-04-11,149800.0,0.21766666666666667
2019-04-16,135200.0,0.154
2019-04-21,155400.0,0.13233333333333333
2019-04-26,164600.0,0.1132
2019-05-01,146000.0,0.0947
2019-05-06,116800.0,0.08814285714285713
2019-05-11,107000.0,0.08236363636363636
2019-05-16,106200.0,0.07327272727272727
2019-05-21,110200.0,0.069
2019-05-26,141400.0,0.084
2019-05-31,140000.0,0.091
2019-06-05,126000.0,0.07914285714285714
2019-06-10,102620.0,0.087
2019-06-15,79620.0,0.09485714285714286
2019-06-20,66520.0,0.10980000000000001
2019-06-25,56280.0,0.12946666666666667
2019-06-30,69200.0,0.14913333333333334
2019-07-05,75920.0,0.15871428571428572
2019-07-10,80100.0,0.1615714285714286
2019-07-15,75040.0,0.16442857142857142
2019-07-20,79960.0,0.1672857142857143
2019-07-25,83760.0,0.16260000000000002
2019-07-30,63340.0,0.1466
2019-08-04,48640.0,0.1306
2019-08-09,41760.0,0.12142857142857143
2019-08-14,37640.0,0.1225
2019-08-19,36380.0,0.12357142857142857
2019-08-24,35900.0,0.134
2019-08-29,32860.0,0.14682352941176469
2019-09-03,31440.0,0.15388235294117647
2019-09-08,33720.0,0.16094117647058825
2019-09-13,44300.0,0.168
2019-09-18,63300.0,0.14633333333333332
2019-09-23,65620.0,0.17
2019-09-28,68580.0,0.1590909090909091
2019-10-03,70240.0,0.14818181818181816
2019-10-08,99360.0,0.14425
2019-10-13,107000.0,0.13820000000000002
2019-10-18,100980.0,0.1437
2019-10-23,94680.0,0.14148275862068965
2019-10-28,99460.0,0.1276896551724138
2019-11-02,90980.0,0.11389655172413793
2019-11-07,78300.0,0.10010344827586207
2019-11-12,64160.0,0.0863103448275862
2019-11-17,49060.0,0.07251724137931034
2019-11-22,50380.0,0.0653448275862069
2019-11-27,51420.0,0.06258620689655173
2019-12-02,47860.0,0.05982758620689655
2019-12-07,44540.0,0.057068965517241374
2019-12-12,34560.0,0.054310344827586204
2019-12-17,38720.0,0.051551724137931035
2019-12-22,44700.0,0.05252380952380952
2019-12-27,46620.0,0.05442857142857142
2020-01-01,51220.0,0.05633333333333333
2020-01-06,54980.0,0.058238095238095235
2020-01-11,50080.0,0.058499999999999996
2020-01-16,49720.0,0.057666666666666665
2020-01-21,46660.0,0.05683333333333333
2020-01-26,46620.0,0.055999999999999994
2020-01-31,45800.0,0.05516666666666666
2020-02-05,42580.0,0.05433333333333333
2020-02-10,36720.0,0.0535
2020-02-15,31580.0,0.05266666666666667
2020-02-20,29140.0,0.05183333333333333
2020-02-25,27780.0,0.051
2020-03-01,28840.0,0.05138461538461538
2020-03-06,33780.0,0.05176923076923077
2020-03-11,53820.0,0.06666666666666667
2020-03-16,72940.0,0.16
2020-03-21,79540.0,0.17056363636363636
2020-03-26,80540.0,0.15947272727272727
2020-03-31,102540.0,0.14838181818181817
2020-04-05,131800.0,0.13729090909090907
2020-04-10,127800.0,0.12619999999999998
2020-04-15,107500.0,0.1151090909090909
2020-04-20,84260.0,0.10401818181818182
2020-04-25,68480.0,0.09292727272727272
2020-04-30,60940.0,0.08183636363636362
2020-05-05,63260.0,0.07074545454545454
2020-05-10,50480.0,0.059654545454545446
2020-05-15,41720.0,0.063
2020-05-20,54760.0,0.0864
2020-05-25,59420.0,0.1034
2020-05-30,67320.0,0.11270000000000001
2020-06-04,59620.0,0.0912
2020-06-09,46600.0,0.07871428571428571
2020-06-14,51380.0,0.10228571428571429
2020-06-19,36760.0,0.09588888888888888
2020-06-24,34200.0,0.082
2020-06-29,40000.0,0.09580952380952382
