date,streamflow,nitrogen,phosphorus,turbidity
2019-02-01,10880.0,0.047,0.04,3.7
2019-02-06,11060.0,0.07104255319148936,0.045,3.45
2019-02-11,8584.0,0.09508510638297873,0.05,3.2
2019-02-16,8650.0,0.1191276595744681,0.07364864864864865,7.227027027027027
2019-02-21,8562.0,0.14317021276595746,0.0972972972972973,11.254054054054055
2019-02-26,9450.0,0.16721276595744683,0.12094594594594595,15.281081081081084
2019-03-03,8860.0,0.19125531914893618,0.1445945945945946,19.308108108108108
2019-03-08,9672.0,0.21529787234042558,0.16824324324324325,23.335135135135136
2019-03-13,16240.0,0.23934042553191492,0.19189189189189187,27.362162162162164
2019-03-18,32820.0,0.26338297872340427,0.2155405405405405,31.38918918918919
2019-03-23,76260.0,0.27155555555555555,0.22111111111111112,32.0
2019-03-28,130800.0,0.2691481481481482,0.21462962962962964,30.333333333333332
2019-04-02,136400.0,0.2667407407407408,0.20814814814814814,28.666666666666668
2019-04-07,117400.0,0.26433333333333336,0.20166666666666666,27.0
2019-04-12,105800.0,0.26192592592592595,0.19518518518518518,25.333333333333336
2019-04-17,96720.0,0.261,0.18625,28.0
2019-04-22,113200.0,0.266,0.1675,48.0
2019-04-27,118200.0,0.2730769230769231,0.15192307692307694,51.5
2019-05-02,97500.0,0.28153846153846157,0.13846153846153847,44.0
2019-05-07,83280.0,0.29000000000000004,0.125,36.5
2019-05-12,76780.0,0.29846153846153844,0.11153846153846154,29.0
2019-05-17,79420.0,0.3069230769230769,0.09807692307692309,21.5
2019-05-22,86100.0,0.278,0.08444444444444445,15.88888888888889
2019-05-27,101040.0,0.193,0.07055555555555555,13.11111111111111
2019-06-01,102200.0,0.1641,0.0695,13.5
2019-06-06,88700.0,0.1726,0.077,16.0
2019-06-11,68580.0,0.1811,0.08449999999999999,18.5
2019-06-16,51660.0,0.18960000000000002,0.092,21.0
2019-06-21,42500.0,0.22385714285714287,0.10785714285714286,27.142857142857142
2019-06-26,41180.0,0.2691363636363637,0.12613636363636363,33.86363636363637
2019-07-01,43780.0,0.2898181818181818,0.1318181818181818,33.18181818181818
2019-07-06,55700.0,0.3105,0.1375,32.5
2019-07-11,61060.0,0.3311818181818182,0.1431818181818182,31.81818181818182
2019-07-16,54880.0,0.3518636363636364,0.14886363636363636,31.136363636363637
2019-07-21,50380.0,0.2914285714285714,0.16428571428571428,33.857142857142854
2019-07-26,43820.0,0.2559230769230769,0.16576923076923075,34.0
2019-07-31,35880.0,0.28823076923076923,0.14269230769230767,29.0
2019-08-05,28500.0,0.32053846153846155,0.11961538461538462,24.0
2019-08-10,23380.0,0.319974358974359,0.1126923076923077,22.692307692307693
2019-08-15,20220.0,0.3111923076923077,0.10980769230769231,22.307692307692307
2019-08-20,22300.0,0.30241025641025643,0.10692307692307693,21.923076923076923
