ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ActivityConductingOrganizationText,ActivityCommentText,SampleAquifer,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,ResultCommentText,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate
nwismn.01.02100157,Quality Control Sample-Field Replicate,Water,Surface Water,2021-05-26,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-04371A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.11,mg/l as P,,Accepted,Actual,,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2021-06-03,,0.02,mg/l as P,
nwismn.01.02100157,Quality Control Sample-Field Replicate,Water,Surface Water,2021-05-26,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-04371A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,Not Detected,Phosphorus,Dissolved,,,,Accepted,Actual,,,,,,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2021-06-08,,0.02,mg/l as P,
nwismn.01.02100157,Quality Control Sample-Field Replicate,Water,Surface Water,2021-05-26,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-04371A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.574,mg/l,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2021-08-13,,0.03,mg/l,
nwismn.01.02100157,Quality Control Sample-Field Replicate,Water,Surface Water,2021-05-26,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-04371A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Turbidity,Total,29.0,NTRU,,Accepted,Actual,,,,,,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2021-06-04,,2.0,NTRU,
nwismn.01.02200253,Sample-Routine,Water,Surface Water,2022-04-11,11:30:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05855A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.14,mg/l as P,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2022-06-14,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200253,Sample-Routine,Water,Surface Water,2022-04-11,11:30:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05855A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Dissolved,0.11,mg/l as P,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2022-07-18,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200253,Sample-Routine,Water,Surface Water,2022-04-11,11:30:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05855A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.317,mg/l,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2022-05-16,,0.03,mg/l,
nwismn.01.02200253,Sample-Routine,Water,Surface Water,2022-04-11,11:30:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05855A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Turbidity,Total,16.0,NTRU,,Accepted,Estimated,,,,,,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2022-04-26,value extrapolated at low end,2.0,NTRU,
nwismn.01.02200361,Sample-Routine,Water,Surface Water,2022-06-27,11:30:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06536A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.13,mg/l as P,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2022-10-20,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200361,Sample-Routine,Water,Surface Water,2022-06-27,11:30:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06536A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Dissolved,0.08,mg/l as P,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2022-10-19,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200361,Sample-Routine,Water,Surface Water,2022-06-27,11:30:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06536A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.286,mg/l,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2022-08-30,,0.03,mg/l,
nwismn.01.02200361,Sample-Routine,Water,Surface Water,2022-06-27,11:30:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06536A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Turbidity,Total,23.0,NTRU,,Accepted,Actual,,,,,,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2022-07-01,,2.0,NTRU,
nwismn.01.02300007,Sample-Routine,Water,Surface Water,2022-10-28,12:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-07551A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.06,mg/l as P,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2022-12-09,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02300007,Sample-Routine,Water,Surface Water,2022-10-28,12:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-07551A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,Not Detected,Phosphorus,Dissolved,,,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2022-12-07,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02300007,Sample-Routine,Water,Surface Water,2022-10-28,12:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-07551A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.16,mg/l,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2022-12-08,,0.03,mg/l,
nwismn.01.02300007,Sample-Routine,Water,Surface Water,2022-10-28,12:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-07551A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Turbidity,Total,13.0,NTRU,,Accepted,Actual,,,,,,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2022-11-04,,2.0,NTRU,
nwismn.01.02200019,Sample-Routine,Water,Surface Water,2022-01-04,12:30:00,CST,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05682A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.04,mg/l as P,,Accepted,Actual,,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2022-01-10,,0.02,mg/l as P,
nwismn.01.02200019,Sample-Routine,Water,Surface Water,2022-01-04,12:30:00,CST,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05682A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,Not Detected,Phosphorus,Dissolved,,,,Accepted,Actual,,,,,,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2022-01-12,,0.02,mg/l as P,
nwismn.01.02200019,Sample-Routine,Water,Surface Water,2022-01-04,12:30:00,CST,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05682A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.09,mg/l,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2022-03-18,,0.03,mg/l,
nwismn.01.02200019,Sample-Routine,Water,Surface Water,2022-01-04,12:30:00,CST,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05682A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Turbidity,Total,2.5,NTRU,,Accepted,Estimated,,,,,,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2022-01-12,value extrapolated at low end,2.0,NTRU,
nwismn.01.02200432,Sample-Routine,Water,Surface Water,2022-07-29,11:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06542A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.12,mg/l as P,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2022-11-23,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200432,Sample-Routine,Water,Surface Water,2022-07-29,11:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06542A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Dissolved,0.03,mg/l as P,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2023-01-11,holding time exceededbelow the reporting level but at or above the detection levelsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200432,Sample-Routine,Water,Surface Water,2022-07-29,11:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06542A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.317,mg/l,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2022-10-05,,0.03,mg/l,
nwismn.01.02200432,Sample-Routine,Water,Surface Water,2022-07-29,11:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06542A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Turbidity,Total,20.0,NTRU,,Accepted,Estimated,,,,,,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2022-08-12,value extrapolated at low end,2.0,NTRU,
nwismn.01.02200254,Sample-Routine,Water,Surface Water,2022-04-21,11:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05857A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.12,mg/l as P,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2022-07-28,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200254,Sample-Routine,Water,Surface Water,2022-04-21,11:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05857A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Dissolved,0.04,mg/l as P,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2022-08-02,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200254,Sample-Routine,Water,Surface Water,2022-04-21,11:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05857A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.208,mg/l,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2022-06-02,,0.03,mg/l,
nwismn.01.02200254,Sample-Routine,Water,Surface Water,2022-04-21,11:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05857A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Turbidity,Total,21.0,NTRU,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2022-05-11,holding time exceededsee result laboratory comment,2.0,NTRU,
nwismn.01.02200255,Quality Control Sample-Field Replicate,Water,Surface Water,2022-05-06,12:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05859A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.13,mg/l as P,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2022-09-26,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200255,Quality Control Sample-Field Replicate,Water,Surface Water,2022-05-06,12:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05859A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,Not Detected,Phosphorus,Dissolved,,,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2022-08-11,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200255,Quality Control Sample-Field Replicate,Water,Surface Water,2022-05-06,12:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05859A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.264,mg/l,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2022-06-13,,0.03,mg/l,
nwismn.01.02200255,Quality Control Sample-Field Replicate,Water,Surface Water,2022-05-06,12:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05859A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Turbidity,Total,31.0,NTRU,,Accepted,Actual,,,,,,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2022-05-17,,2.0,NTRU,
nwismn.01.02200304,Quality Control Sample-Field Replicate,Water,Surface Water,2022-05-23,12:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06531A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.17,mg/l as P,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2022-09-08,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200304,Quality Control Sample-Field Replicate,Water,Surface Water,2022-05-23,12:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06531A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Dissolved,0.06,mg/l as P,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2022-08-24,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200304,Quality Control Sample-Field Replicate,Water,Surface Water,2022-05-23,12:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06531A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.259,mg/l,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2022-07-14,,0.03,mg/l,
nwismn.01.02200304,Quality Control Sample-Field Replicate,Water,Surface Water,2022-05-23,12:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06531A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Turbidity,Total,31.0,NTRU,,Accepted,Actual,,,,,,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2022-05-31,,2.0,NTRU,
nwismn.01.02200225,Sample-Routine,Water,Surface Water,2022-02-28,11:30:00,CST,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05686A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,Not Detected,Phosphorus,Total,,,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2022-05-04,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200225,Sample-Routine,Water,Surface Water,2022-02-28,11:30:00,CST,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05686A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,Not Detected,Phosphorus,Dissolved,,,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2022-05-27,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200225,Sample-Routine,Water,Surface Water,2022-02-28,11:30:00,CST,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05686A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Turbidity,Total,2.0,NTRU,,Accepted,Estimated,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2022-03-21,holding time exceededvalue extrapolated at low endsee result laboratory comment,2.0,NTRU,
nwismn.01.02200431,Sample-Routine,Water,Surface Water,2022-07-13,11:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06539A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.16,mg/l as P,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2022-11-04,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200431,Sample-Routine,Water,Surface Water,2022-07-13,11:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06539A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Dissolved,0.12,mg/l as P,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2022-11-09,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200431,Sample-Routine,Water,Surface Water,2022-07-13,11:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06539A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.251,mg/l,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2022-09-15,,0.03,mg/l,
nwismn.01.02200431,Sample-Routine,Water,Surface Water,2022-07-13,11:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06539A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Turbidity,Total,29.0,NTRU,,Accepted,Actual,,,,,,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2022-07-22,,2.0,NTRU,
nwismn.01.02200252,Sample-Routine,Water,Surface Water,2022-03-24,12:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05853A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.18,mg/l as P,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2022-05-25,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200252,Sample-Routine,Water,Surface Water,2022-03-24,12:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05853A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Dissolved,0.14,mg/l as P,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2022-06-30,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200252,Sample-Routine,Water,Surface Water,2022-03-24,12:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05853A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.211,mg/l,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2022-05-09,,0.03,mg/l,
nwismn.01.02200252,Sample-Routine,Water,Surface Water,2022-03-24,12:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05853A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Turbidity,Total,11.0,NTRU,,Accepted,Estimated,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2022-04-07,holding time exceededvalue extrapolated at low endsee result laboratory comment,2.0,NTRU,
nwismn.01.02200360,Sample-Routine,Water,Surface Water,2022-06-17,11:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06534A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.16,mg/l as P,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2022-10-18,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200360,Sample-Routine,Water,Surface Water,2022-06-17,11:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06534A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Dissolved,0.06,mg/l as P,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2022-10-17,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200360,Sample-Routine,Water,Surface Water,2022-06-17,11:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06534A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.245,mg/l,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2022-08-22,,0.03,mg/l,
nwismn.01.02200360,Sample-Routine,Water,Surface Water,2022-06-17,11:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06534A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Turbidity,Total,28.0,NTRU,,Accepted,Actual,,,,,,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2022-06-24,,2.0,NTRU,
nwismn.01.02200485,Quality Control Sample-Field Replicate,Water,Surface Water,2022-08-31,12:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06924A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.1,mg/l as P,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2023-02-23,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200485,Quality Control Sample-Field Replicate,Water,Surface Water,2022-08-31,12:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06924A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,Not Detected,Phosphorus,Dissolved,,,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2023-02-08,holding time exceededsee result laboratory comment,0.02,mg/l as P,
nwismn.01.02200485,Quality Control Sample-Field Replicate,Water,Surface Water,2022-08-31,12:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06924A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.411,mg/l,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2022-11-02,,0.03,mg/l,
nwismn.01.02200485,Quality Control Sample-Field Replicate,Water,Surface Water,2022-08-31,12:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-06924A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Turbidity,Total,19.0,NTRU,,Accepted,Estimated,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2022-09-16,holding time exceededvalue extrapolated at low endsee result laboratory comment,2.0,NTRU,
